experiment	artifact	timestamp	metric	status	top_hypothesis	recommendation	description
1	run_20260307_151042_metrics.json	2026-03-07T15:10:42+00:00	0.785081	keep	Residual Horizon Fair Value	n/a	baseline
2	run_20260307_151154_metrics.json	2026-03-07T15:11:54+00:00	0.785081	discard	Residual Horizon Fair Value	n/a	Residual Horizon Fair Value
3	run_20260307_151457_metrics.json	2026-03-07T15:14:57+00:00	0.785081	discard	Residual Horizon Fair Value	REJECT ALL	Residual Horizon Fair Value
4	run_20260307_155440_metrics.json	2026-03-07T15:54:40+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
5	run_20260307_155833_metrics.json	2026-03-07T15:58:33+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
6	run_20260307_160105_metrics.json	2026-03-07T16:01:05+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
7	run_20260307_163456_metrics.json	2026-03-07T16:34:56+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
8	run_20260307_163602_metrics.json	2026-03-07T16:36:02+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
9	run_20260307_163657_metrics.json	2026-03-07T16:36:57+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
10	run_20260307_164031_metrics.json	2026-03-07T16:40:31+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
11	run_20260307_170201_metrics.json	2026-03-07T17:02:01+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
12	run_20260307_172056_metrics.json	2026-03-07T17:20:56+00:00	0.460000	discard	Post-Extreme Mean Reversion	REJECT ALL	Post-Extreme Mean Reversion
13	run_20260307_172530_metrics.json	2026-03-07T17:25:30+00:00	0.508953	discard	Residual Horizon Fair Value	REJECT ALL	Residual Horizon Fair Value
14	run_20260307_172547_metrics.json	2026-03-07T17:25:47+00:00	0.508953	discard	Residual Horizon Fair Value	REJECT ALL	Residual Horizon Fair Value
15	run_20260307_173300_metrics.json	2026-03-07T17:33:00+00:00	0.508953	discard	Residual Horizon Fair Value	REJECT ALL	Residual Horizon Fair Value
16	run_20260307_173335_metrics.json	2026-03-07T17:33:35+00:00	0.508953	discard	Residual Horizon Fair Value	REJECT ALL	Residual Horizon Fair Value
17	run_20260307_173401_metrics.json	2026-03-07T17:34:01+00:00	0.508953	discard	Residual Horizon Fair Value	REJECT ALL	Residual Horizon Fair Value
18	run_20260307_190738_metrics.json	2026-03-07T19:07:38+00:00	0.508953	discard	Residual Horizon Fair Value	REJECT ALL	Residual Horizon Fair Value
